"day_time","yellow","green","fhv"
"11_4",2373,185,1196
"11_5",1385,147,1442
"11_6",2052,173,1723
"11_7",3469,308,2367
"11_8",5422,434,3052
"11_9",7817,675,3552
"11_10",9229,750,3309
"11_11",10486,808,3060
"11_12",11589,865,2948
"11_13",11789,914,2861
"11_14",12018,812,2850
"11_15",13293,1065,2747
"11_16",12655,1046,2559
"11_17",13073,1049,2653
"11_18",13651,879,2585
"11_19",13068,892,2456
"11_20",10675,747,2367
"11_21",10823,719,2212
"11_22",11964,686,2228
"11_23",12889,649,2047
"12_0",10807,517,1824
"12_1",9748,424,1471
"12_2",7290,341,1166
"12_3",4953,268,981
"12_4",2781,218,1139
"12_5",1302,127,1226
"12_6",1657,141,1515
"12_7",3067,274,1877
"12_8",4729,489,2248
"12_9",6882,655,2778
"12_10",8326,778,3020
"12_11",9590,806,2839
"12_12",10673,811,2624
"12_13",10838,1007,2433
"12_14",11444,952,2560
"12_15",11468,877,2435
"12_16",11382,823,2280
"12_17",11638,794,2231
"12_18",11662,757,2137
"12_19",9331,618,1978
"12_20",8186,552,1834
"12_21",7759,516,1791
"12_22",6756,419,1701
"12_23",4476,278,1412
"13_0",2788,181,1112
"13_1",1573,103,698
"13_2",956,56,540
"13_3",722,63,597
"13_4",971,107,1203
"13_5",2065,145,1810
"13_6",5861,315,2895
"13_7",10800,615,4706
"13_8",12478,932,5763
"13_9",11554,1003,5672
"13_10",10682,930,5312
"13_11",10643,792,4658
"13_12",11475,808,5020
"13_13",11384,811,4762
"13_14",12474,853,4562
"13_15",13169,932,4052
"13_16",11603,927,3469
"13_17",13490,1015,3096
"13_18",15334,976,2673
"13_19",12933,872,2165
"13_20",11489,617,2301
"13_21",10649,508,2094
"13_22",8640,431,1726
"13_23",5477,296,1360
"14_0",3714,211,1023
"14_1",1874,134,654
"14_2",1123,70,479
"14_3",786,61,525
"14_4",936,103,1009
"14_5",1875,139,1684
"14_6",5235,305,2762
"14_7",10235,570,4717
"14_8",12512,826,5698
"14_9",11721,890,5669
"14_10",10844,836,5344
"14_11",10784,792,4742
"14_12",11660,787,4962
"14_13",11841,765,4638
"14_14",13137,779,4582
"14_15",13428,948,4253
"14_16",13058,1017,3701
"14_17",13531,1016,3123
"14_18",15225,944,2740
"14_19",13483,854,2307
"14_20",12525,637,2505
"14_21",12464,573,2168
"14_22",9921,424,1830
"14_23",5810,296,1496
"15_0",3536,173,1156
"15_1",1923,107,636
"15_2",1139,64,462
"15_3",809,57,571
"15_4",1023,121,1097
"15_5",2021,153,1780
"15_6",5071,285,2852
"15_7",10458,533,4791
"15_8",12686,863,5781
"15_9",11525,858,5771
"15_10",10395,877,5390
"15_11",10559,752,4770
"15_12",11331,785,4955
"15_13",11018,766,4976
"15_14",12205,831,4712
"15_15",12675,904,4109
"15_16",11863,981,3624
"15_17",13739,1057,3221
"15_18",15107,952,2725
"15_19",13870,913,2311
"15_20",13223,706,2439
"15_21",13366,555,2346
"15_22",10557,507,1946
"15_23",7397,357,1585
"16_0",4325,251,1134
"16_1",2221,124,696
"16_2",1414,85,521
"16_3",966,80,561
"16_4",1054,91,1131
"16_5",2120,136,1816
"16_6",5066,261,2849
"16_7",10489,599,4693
"16_8",13006,865,5772
"16_9",12309,905,5935
"16_10",10858,843,5380
"16_11",10869,815,4926
"16_12",12138,793,5023
"16_13",12126,757,5057
"16_14",14248,890,4977
"16_15",13042,949,4261
"16_16",12470,1020,3750
"16_17",15140,1088,3423
"16_18",16924,1078,2908
"16_19",15780,1033,2557
"16_20",14824,778,2728
"16_21",15329,702,2580
"16_22",13798,619,2160
"16_23",9141,456,1715
"17_0",5935,277,1325
"17_1",3625,173,798
"17_2",2138,98,575
"17_3",1420,96,622
"17_4",1311,117,1139
"17_5",2135,141,1808
"17_6",5382,274,2943
"17_7",10932,601,4962
"17_8",13482,859,6175
"17_9",12245,902,5972
"17_10",11452,849,5536
"17_11",11690,740,5058
"17_12",12316,780,5115
"17_13",12426,691,5045
"17_14",13661,846,4731
"17_15",13890,1007,4149
"17_16",13039,1031,3727
"17_17",15297,1166,3346
"17_18",17012,1207,2920
"17_19",15961,1103,2837
"17_20",12958,920,2664
"17_21",12227,787,2391
"17_22",12650,719,2217
"17_23",10498,627,1935
"18_0",8464,484,1651
"18_1",6870,374,1187
"18_2",5467,294,965
"18_3",3613,214,894
"18_4",2400,191,1225
"18_5",1326,116,1477
"18_6",2058,128,1887
"18_7",3059,211,2349
"18_8",4949,348,3120
"18_9",7205,513,3582
"18_10",8934,606,3335
"18_11",9359,628,2772
"18_12",11482,718,2978
"18_13",11549,626,2927
"18_14",10108,616,2571
"18_15",10317,649,2405
"18_16",10696,653,2438
"18_17",10902,548,2307
"18_18",11867,607,2149
"18_19",12644,620,2275
"18_20",9287,528,2234
"18_21",8685,470,2184
"18_22",9958,473,1950
"18_23",8959,465,1814
"19_0",8233,397,1570
"19_1",7199,318,1231
"19_2",5511,249,925
"19_3",3915,199,891
"19_4",2287,173,943
"19_5",1053,93,1079
"19_6",1497,96,1465
"19_7",2686,160,1789
"19_8",4163,381,2133
"19_9",6164,529,2662
"19_10",8552,674,2949
"19_11",9375,643,2759
"19_12",10218,697,2634
"19_13",10148,706,2558
"19_14",10889,761,2672
"19_15",11027,726,2486
"19_16",10700,762,2317
"19_17",10751,650,2320
"19_18",10961,617,2214
"19_19",9046,532,2059
"19_20",8454,509,1931
"19_21",8799,502,1820
"19_22",8147,447,1772
"19_23",6056,372,1615
"20_0",4334,240,1263
"20_1",2782,160,849
"20_2",1834,111,639
"20_3",1345,84,699
"20_4",1177,118,1073
"20_5",1307,83,1434
"20_6",2534,153,1945
"20_7",3526,214,2562
"20_8",5571,372,3299
"20_9",7390,512,3681
"20_10",8268,491,3629
"20_11",9352,526,3294
"20_12",10461,589,3508
"20_13",10483,597,3530
"20_14",11043,634,3315
"20_15",11289,686,3067
"20_16",11008,745,2869
"20_17",11079,676,2725
"20_18",11317,678,2426
"20_19",9517,615,2078
"20_20",8597,472,1873
"20_21",7792,389,1711
"20_22",6084,303,1616
"20_23",3866,236,1327
"21_0",2552,173,989
"21_1",1334,110,586
"21_2",696,50,437
"21_3",543,62,514
"21_4",726,87,1108
"21_5",2013,143,1852
"21_6",5387,298,2891
